Industry,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Total
E-retail,3.185383,3.703419,3.631268,3.801541,4.228550,8.284299,6.584447,5.396775,6.002146,5.917477,5.283825,6.588024,62.607154
Gaming,2.637498,2.708704,2.744841,2.918949,2.218392,0.102414,0.082764,0.023651,0.026733,0.028268,0.025627,0.023368,13.541209
Lending/ Repayment,1.821099,1.976345,2.085325,2.255761,2.134056,2.110132,2.068251,2.016040,2.298932,2.440939,2.461393,3.047780,26.716054
Travel,1.250344,1.395158,1.443538,1.469170,1.574878,1.580951,1.724105,1.822867,1.835949,1.841976,1.665115,1.822263,19.426316
Grocery Delivery,1.277361,1.312823,1.247469,1.303253,1.389278,1.376303,1.479454,1.489747,1.615541,1.678369,1.663410,1.879236,17.712246
Partnership,0.545225,1.536466,1.971524,0.519818,1.206541,1.940630,0.775874,0.682142,4.128635,3.452579,0.466383,7.007577,24.233396
Insurance,0.718911,0.750252,0.776254,0.847820,0.840330,0.919807,0.989106,0.951898,1.099897,1.092183,1.121078,1.560951,11.668486
Others,0.401195,0.418709,0.409143,0.477368,0.498157,0.498951,0.512476,0.514286,0.559682,1.126459,1.233430,1.632427,8.282282
Telecom,0.700368,0.716601,0.708262,0.736004,0.760543,0.729893,0.731122,0.706539,0.747597,0.664366,0.594075,0.662154,8.457522
FinTech,0.594310,0.602546,0.618121,0.644017,0.685842,0.702126,0.668546,0.672650,0.659237,0.748119,0.695206,0.655036,7.945757
Banking,0.525592,0.525114,0.525476,0.526496,0.690541,0.799369,0.924712,1.029217,1.197571,1.532666,1.581704,1.621132,11.479590
OTT,0.281246,0.299356,0.345876,0.349220,0.386170,0.513791,0.399821,0.432680,0.461546,0.513576,0.504056,0.556310,5.043649
Food delivery,0.424310,0.451781,0.433519,0.440842,0.472801,0.493716,0.507354,0.506635,0.499543,0.496836,0.478243,0.565324,5.770904
Ticketing,0.470511,0.433251,0.381590,0.535597,0.573497,0.561133,0.575949,0.398510,0.692996,0.555300,0.307929,0.888450,6.374714
Education,0.467135,0.515363,0.474633,0.444641,0.426839,0.339804,0.262000,0.272231,0.363463,0.369833,0.309619,0.647581,4.893141
Lotuspay,0.337872,0.370028,0.405716,0.445444,0.467917,0.440054,0.481763,0.429910,0.471143,0.484858,0.472595,0.557213,5.364513
Billpay,0.439822,0.438021,0.511069,0.598652,0.548195,0.611559,0.594157,0.955833,0.875888,0.453502,0.419830,0.343788,6.790315
Classified,0.316597,0.311023,0.296744,0.301014,0.318707,0.324923,0.348535,0.326170,0.328166,0.335677,0.333487,0.371349,3.912392
NBFC,0.174406,0.163041,0.161035,0.193920,0.220044,0.263178,0.257730,0.254471,0.302094,0.325926,0.299243,0.294569,2.909657
Investments,0.131079,0.117076,0.120264,0.127088,0.118383,0.126620,0.165990,0.117012,0.159009,0.182546,0.140847,0.206629,1.712543
E-pharma,0.306775,0.327408,0.331627,0.361063,0.394059,0.408329,0.408242,0.427459,0.408693,0.433673,0.428375,0.579944,4.815647
Hospitality,0.118342,0.130377,0.139525,0.124871,0.123421,0.118011,0.128006,0.199908,0.164762,0.146620,0.142230,0.156436,1.692507
